CODE;BC;BE;BN;BO;BS;MN;MS;SC;SE;SO
BC;0;13200;22600;15100;7900;7500;7100;2200;1500;3300
BE;19100;0;10800;5600;3000;9900;9600;1200;1200;2300
BN;30000;10100;0;13400;3700;6300;5100;2100;2400;3600
BO;18300;3700;11100;0;6000;6700;6000;2000;2200;3400
BS;11600;2900;3900;8200;0;3200;5800;700;600;1700
MN;8900;5600;4900;4600;2000;0;22000;5000;3400;6200
MS;11500;7800;6200;8900;6000;35600;0;2400;1500;6100
SC;3200;1700;2900;2900;1300;12000;3500;0;9500;23900
SE;3100;2200;5800;4200;1000;8100;2200;7500;0;7500
SO;5000;3400;4600;4600;2100;11500;6500;20400;6300;0
